l_english:

TEMPLATE_LIST:0 "TEMPLATE_LIST"
TEMPLATE_LIST_ASSAULT_ARMY_SEQ:0 "TEMPLATE_LIST_ASSAULT_ARMY_SEQ"
TEMPLATE_LIST_BATTLECRUISER_Name_01:0 "BATTLECRUISER_Name01"
TEMPLATE_LIST_BATTLECRUISER_Name_02:0 "BATTLECRUISER_Name02"
TEMPLATE_LIST_BATTLECRUISER_Name_03:0 "BATTLECRUISER_Name03"
TEMPLATE_LIST_BATTLECRUISER_Name_04:0 "BATTLECRUISER_Name04"
TEMPLATE_LIST_BATTLECRUISER_Name_05:0 "BATTLECRUISER_Name05"
TEMPLATE_LIST_BATTLECRUISER_Name_06:0 "BATTLECRUISER_Name06"
TEMPLATE_LIST_BATTLECRUISER_Name_07:0 "BATTLECRUISER_Name07"
TEMPLATE_LIST_BATTLECRUISER_Name_08:0 "BATTLECRUISER_Name08"
TEMPLATE_LIST_BATTLECRUISER_Name_09:0 "BATTLECRUISER_Name09"
TEMPLATE_LIST_BATTLECRUISER_Name_10:0 "BATTLECRUISER_Name10"
TEMPLATE_LIST_BATTLECRUISER_Name_11:0 "BATTLECRUISER_Name11"
TEMPLATE_LIST_BATTLECRUISER_Name_12:0 "BATTLECRUISER_Name12"
TEMPLATE_LIST_BATTLECRUISER_Name_13:0 "BATTLECRUISER_Name13"
TEMPLATE_LIST_BATTLECRUISER_Name_14:0 "BATTLECRUISER_Name14"
TEMPLATE_LIST_BATTLECRUISER_Name_15:0 "BATTLECRUISER_Name15"
TEMPLATE_LIST_BATTLECRUISER_Name_16:0 "BATTLECRUISER_Name16"
TEMPLATE_LIST_BATTLECRUISER_Name_17:0 "BATTLECRUISER_Name17"
TEMPLATE_LIST_BATTLECRUISER_Name_18:0 "BATTLECRUISER_Name18"
TEMPLATE_LIST_BATTLECRUISER_Name_19:0 "BATTLECRUISER_Name19"
TEMPLATE_LIST_BATTLECRUISER_Name_20:0 "BATTLECRUISER_Name20"
TEMPLATE_LIST_BATTLECRUISER_Name_21:0 "BATTLECRUISER_Name21"
TEMPLATE_LIST_BATTLECRUISER_Name_22:0 "BATTLECRUISER_Name22"
TEMPLATE_LIST_BATTLECRUISER_Name_23:0 "BATTLECRUISER_Name23"
TEMPLATE_LIST_BATTLECRUISER_Name_24:0 "BATTLECRUISER_Name24"
TEMPLATE_LIST_BATTLECRUISER_Name_25:0 "BATTLECRUISER_Name25"
TEMPLATE_LIST_BATTLECRUISER_Name_26:0 "BATTLECRUISER_Name26"
TEMPLATE_LIST_BATTLECRUISER_Name_27:0 "BATTLECRUISER_Name27"
TEMPLATE_LIST_BATTLECRUISER_Name_28:0 "BATTLECRUISER_Name28"
TEMPLATE_LIST_BATTLECRUISER_Name_29:0 "BATTLECRUISER_Name29"
TEMPLATE_LIST_BATTLECRUISER_Name_30:0 "BATTLECRUISER_Name30"
TEMPLATE_LIST_BATTLECRUISER_Name_31:0 "BATTLECRUISER_Name31"
TEMPLATE_LIST_BATTLECRUISER_Name_32:0 "BATTLECRUISER_Name32"
TEMPLATE_LIST_BATTLECRUISER_Name_33:0 "BATTLECRUISER_Name33"
TEMPLATE_LIST_BATTLECRUISER_Name_34:0 "BATTLECRUISER_Name34"
TEMPLATE_LIST_BATTLECRUISER_Name_35:0 "BATTLECRUISER_Name35"
TEMPLATE_LIST_BATTLECRUISER_Name_36:0 "BATTLECRUISER_Name36"
TEMPLATE_LIST_BATTLECRUISER_Name_37:0 "BATTLECRUISER_Name37"
TEMPLATE_LIST_BATTLECRUISER_Name_38:0 "BATTLECRUISER_Name38"
TEMPLATE_LIST_BATTLECRUISER_Name_39:0 "BATTLECRUISER_Name39"
TEMPLATE_LIST_BATTLECRUISER_Name_40:0 "BATTLECRUISER_Name40"
TEMPLATE_LIST_BATTLESHIP_Name_01:0 "BATTLESHIP_Name01"
TEMPLATE_LIST_BATTLESHIP_Name_02:0 "BATTLESHIP_Name02"
TEMPLATE_LIST_BATTLESHIP_Name_03:0 "BATTLESHIP_Name03"
TEMPLATE_LIST_BATTLESHIP_Name_04:0 "BATTLESHIP_Name04"
TEMPLATE_LIST_BATTLESHIP_Name_05:0 "BATTLESHIP_Name05"
