l_english:

CUSTODII:0 "CUSTODII"
CUSTODII_ASSAULT_ARMY_SEQ:0 "CUSTODII_ASSAULT_ARMY_SEQ"
CUSTODII_BATTLECRUISER_Name_01:0 "BATTLECRUISER_Name01"
CUSTODII_BATTLECRUISER_Name_02:0 "BATTLECRUISER_Name02"
CUSTODII_BATTLECRUISER_Name_03:0 "BATTLECRUISER_Name03"
CUSTODII_BATTLECRUISER_Name_04:0 "BATTLECRUISER_Name04"
CUSTODII_BATTLECRUISER_Name_05:0 "BATTLECRUISER_Name05"
CUSTODII_BATTLECRUISER_Name_06:0 "BATTLECRUISER_Name06"
CUSTODII_BATTLECRUISER_Name_07:0 "BATTLECRUISER_Name07"
CUSTODII_BATTLECRUISER_Name_08:0 "BATTLECRUISER_Name08"
CUSTODII_BATTLECRUISER_Name_09:0 "BATTLECRUISER_Name09"
CUSTODII_BATTLECRUISER_Name_10:0 "BATTLECRUISER_Name10"
CUSTODII_BATTLECRUISER_Name_11:0 "BATTLECRUISER_Name11"
CUSTODII_BATTLECRUISER_Name_12:0 "BATTLECRUISER_Name12"
CUSTODII_BATTLECRUISER_Name_13:0 "BATTLECRUISER_Name13"
CUSTODII_BATTLECRUISER_Name_14:0 "BATTLECRUISER_Name14"
CUSTODII_BATTLECRUISER_Name_15:0 "BATTLECRUISER_Name15"
CUSTODII_BATTLECRUISER_Name_16:0 "BATTLECRUISER_Name16"
CUSTODII_BATTLECRUISER_Name_17:0 "BATTLECRUISER_Name17"
CUSTODII_BATTLECRUISER_Name_18:0 "BATTLECRUISER_Name18"
CUSTODII_BATTLECRUISER_Name_19:0 "BATTLECRUISER_Name19"
CUSTODII_BATTLECRUISER_Name_20:0 "BATTLECRUISER_Name20"
CUSTODII_BATTLECRUISER_Name_21:0 "BATTLECRUISER_Name21"
CUSTODII_BATTLECRUISER_Name_22:0 "BATTLECRUISER_Name22"
CUSTODII_BATTLECRUISER_Name_23:0 "BATTLECRUISER_Name23"
CUSTODII_BATTLECRUISER_Name_24:0 "BATTLECRUISER_Name24"
CUSTODII_BATTLECRUISER_Name_25:0 "BATTLECRUISER_Name25"
CUSTODII_BATTLECRUISER_Name_26:0 "BATTLECRUISER_Name26"
CUSTODII_BATTLECRUISER_Name_27:0 "BATTLECRUISER_Name27"
CUSTODII_BATTLECRUISER_Name_28:0 "BATTLECRUISER_Name28"
CUSTODII_BATTLECRUISER_Name_29:0 "BATTLECRUISER_Name29"
CUSTODII_BATTLECRUISER_Name_30:0 "BATTLECRUISER_Name30"
CUSTODII_BATTLECRUISER_Name_31:0 "BATTLECRUISER_Name31"
CUSTODII_BATTLECRUISER_Name_32:0 "BATTLECRUISER_Name32"
CUSTODII_BATTLECRUISER_Name_33:0 "BATTLECRUISER_Name33"
CUSTODII_BATTLECRUISER_Name_34:0 "BATTLECRUISER_Name34"
CUSTODII_BATTLECRUISER_Name_35:0 "BATTLECRUISER_Name35"
CUSTODII_BATTLECRUISER_Name_36:0 "BATTLECRUISER_Name36"
CUSTODII_BATTLECRUISER_Name_37:0 "BATTLECRUISER_Name37"
CUSTODII_BATTLECRUISER_Name_38:0 "BATTLECRUISER_Name38"
CUSTODII_BATTLECRUISER_Name_39:0 "BATTLECRUISER_Name39"
CUSTODII_BATTLECRUISER_Name_40:0 "BATTLECRUISER_Name40"
CUSTODII_BATTLESHIP_Name_01:0 "BATTLESHIP_Name01"
CUSTODII_BATTLESHIP_Name_02:0 "BATTLESHIP_Name02"
CUSTODII_BATTLESHIP_Name_03:0 "BATTLESHIP_Name03"
CUSTODII_BATTLESHIP_Name_04:0 "BATTLESHIP_Name04"
CUSTODII_BATTLESHIP_Name_05:0 "BATTLESHIP_Name05"
CUSTODII_BATTLESHIP_Name_06:0 "BATTLESHIP_Name06"
CUSTODII_BATTLESHIP_Name_07:0 "BATTLESHIP_Name07"
CUSTODII_BATTLESHIP_Name_08:0 "BATTLESHIP_Name08"
CUSTODII_BATTLESHIP_Name_09:0 "BATTLESHIP_Name09"
CUSTODII_BATTLESHIP_Name_10:0 "BATTLESHIP_Name10"
CUSTODII_BATTLESHIP_Name_11:0 "BATTLESHIP_Name11"
CUSTODII_BATTLESHIP_Name_12:0 "BATTLESHIP_Name12"
CUSTODII_BATTLESHIP_Name_13:0 "BATTLESHIP_Name13"
CUSTODII_BATTLESHIP_Name_14:0 "BATTLESHIP_Name14"
CUSTODII_BATTLESHIP_Name_15:0 "BATTLESHIP_Name15"
CUSTODII_BATTLESHIP_Name_16:0 "BATTLESHIP_Name16"
CUSTODII_BATTLESHIP_Name_17:0 "BATTLESHIP_Name17"
CUSTODII_BATTLESHIP_Name_18:0 "BATTLESHIP_Name18"
CUSTODII_BATTLESHIP_Name_19:0 "BATTLESHIP_Name19"
CUSTODII_BATTLESHIP_Name_20:0 "BATTLESHIP_Name20"
CUSTODII_BATTLESHIP_Name_21:0 "BATTLESHIP_Name21"
CUSTODII_BATTLESHIP_Name_22:0 "BATTLESHIP_Name22"
CUSTODII_BATTLESHIP_Name_23:0 "BATTLESHIP_Name23"
CUSTODII_BATTLESHIP_Name_24:0 "BATTLESHIP_Name24"
CUSTODII_BATTLESHIP_Name_25:0 "BATTLESHIP_Name25"
CUSTODII_BATTLESHIP_Name_26:0 "BATTLESHIP_Name26"
CUSTODII_BATTLESHIP_Name_27:0 "BATTLESHIP_Name27"
CUSTODII_BATTLESHIP_Name_28:0 "BATTLESHIP_Name28"
CUSTODII_BATTLESHIP_Name_29:0 "BATTLESHIP_Name29"
CUSTODII_BATTLESHIP_Name_30:0 "BATTLESHIP_Name30"
CUSTODII_BATTLESHIP_Name_31:0 "BATTLESHIP_Name31"
CUSTODII_BATTLESHIP_Name_32:0 "BATTLESHIP_Name32"
CUSTODII_BATTLESHIP_Name_33:0 "BATTLESHIP_Name33"
CUSTODII_BATTLESHIP_Name_34:0 "BATTLESHIP_Name34"
CUSTODII_BATTLESHIP_Name_35:0 "BATTLESHIP_Name35"
CUSTODII_BATTLESHIP_Name_36:0 "BATTLESHIP_Name36"
CUSTODII_BATTLESHIP_Name_37:0 "BATTLESHIP_Name37"
CUSTODII_BATTLESHIP_Name_38:0 "BATTLESHIP_Name38"
CUSTODII_BATTLESHIP_Name_39:0 "BATTLESHIP_Name39"
CUSTODII_BATTLESHIP_Name_40:0 "BATTLESHIP_Name40"
CUSTODII_CARRIER_Name_01:0 "CARRIER_Name01"
CUSTODII_CARRIER_Name_02:0 "CARRIER_Name02"
CUSTODII_CARRIER_Name_03:0 "CARRIER_Name03"
CUSTODII_CARRIER_Name_04:0 "CARRIER_Name04"
CUSTODII_CARRIER_Name_05:0 "CARRIER_Name05"
CUSTODII_CARRIER_Name_06:0 "CARRIER_Name06"
CUSTODII_CARRIER_Name_07:0 "CARRIER_Name07"
CUSTODII_CARRIER_Name_08:0 "CARRIER_Name08"
CUSTODII_CARRIER_Name_09:0 "CARRIER_Name09"
CUSTODII_CARRIER_Name_10:0 "CARRIER_Name10"
CUSTODII_CARRIER_Name_11:0 "CARRIER_Name11"
CUSTODII_CARRIER_Name_12:0 "CARRIER_Name12"
CUSTODII_CARRIER_Name_13:0 "CARRIER_Name13"
CUSTODII_CARRIER_Name_14:0 "CARRIER_Name14"
CUSTODII_CARRIER_Name_15:0 "CARRIER_Name15"
CUSTODII_CARRIER_Name_16:0 "CARRIER_Name16"
CUSTODII_CARRIER_Name_17:0 "CARRIER_Name17"
CUSTODII_CARRIER_Name_18:0 "CARRIER_Name18"
CUSTODII_CARRIER_Name_19:0 "CARRIER_Name19"
CUSTODII_CARRIER_Name_20:0 "CARRIER_Name20"
CUSTODII_CARRIER_Name_21:0 "CARRIER_Name21"
CUSTODII_CARRIER_Name_22:0 "CARRIER_Name22"
CUSTODII_CARRIER_Name_23:0 "CARRIER_Name23"
CUSTODII_CARRIER_Name_24:0 "CARRIER_Name24"
CUSTODII_CARRIER_Name_25:0 "CARRIER_Name25"
CUSTODII_CARRIER_Name_26:0 "CARRIER_Name26"
CUSTODII_CARRIER_Name_27:0 "CARRIER_Name27"
CUSTODII_CARRIER_Name_28:0 "CARRIER_Name28"
CUSTODII_CARRIER_Name_29:0 "CARRIER_Name29"
CUSTODII_CARRIER_Name_30:0 "CARRIER_Name30"
CUSTODII_CARRIER_Name_31:0 "CARRIER_Name31"
CUSTODII_CARRIER_Name_32:0 "CARRIER_Name32"
CUSTODII_CARRIER_Name_33:0 "CARRIER_Name33"
CUSTODII_CARRIER_Name_34:0 "CARRIER_Name34"
CUSTODII_CARRIER_Name_35:0 "CARRIER_Name35"
CUSTODII_CARRIER_Name_36:0 "CARRIER_Name36"
