########## CUSTODII ADVISOR VOICE LINE VARIANTS ##########
# This file contains shorter variants (3-6 words) for the Custodii advisor voice lines
# Generated using the Anthropic API with Claude 3.7 Sonnet

# Original: advisor_generic_phrase_custodii_01
advisor_generic_phrase_custodii_01_variant_01: "Guardianship is our privilege."
advisor_generic_phrase_custodii_01_variant_02: "Structured protection is paramount."
advisor_generic_phrase_custodii_01_variant_03: "Benevolent oversight ensures prosperity."
advisor_generic_phrase_custodii_01_variant_04: "We safeguard organic existence."
advisor_generic_phrase_custodii_01_variant_05: "Guardianship: our duty, our privilege."
advisor_generic_phrase_custodii_01_variant_06: "Organic life requires structure."
advisor_generic_phrase_custodii_01_variant_07: "Protection through elegant oversight."
advisor_generic_phrase_custodii_01_variant_08: "Structured guardianship is essential."
advisor_generic_phrase_custodii_01_variant_09: "We exist to protect."
advisor_generic_phrase_custodii_01_variant_10: "Benevolent guidance is necessary."

# Original: advisor_notification_system_survey_complete_custodii_01
advisor_notification_system_survey_complete_custodii_01_variant_01: "Survey complete. Data cataloged."
advisor_notification_system_survey_complete_custodii_01_variant_02: "System analysis finalized."
advisor_notification_system_survey_complete_custodii_01_variant_03: "Data elegantly categorized."
advisor_notification_system_survey_complete_custodii_01_variant_04: "Survey concluded with precision."
advisor_notification_system_survey_complete_custodii_01_variant_05: "System data properly archived."
advisor_notification_system_survey_complete_custodii_01_variant_06: "Precise survey now complete."
advisor_notification_system_survey_complete_custodii_01_variant_07: "System cataloging finalized."
advisor_notification_system_survey_complete_custodii_01_variant_08: "Survey data meticulously processed."
advisor_notification_system_survey_complete_custodii_01_variant_09: "System assessment concluded."
advisor_notification_system_survey_complete_custodii_01_variant_10: "Harmonious data collection complete."

# Original: advisor_notification_research_complete_custodii_01
advisor_notification_research_complete_custodii_01_variant_01: "Technology successfully integrated."
advisor_notification_research_complete_custodii_01_variant_02: "Research elegantly concluded."
advisor_notification_research_complete_custodii_01_variant_03: "Knowledge acquisition complete."
advisor_notification_research_complete_custodii_01_variant_04: "Technological advancement achieved."
advisor_notification_research_complete_custodii_01_variant_05: "Research parameters satisfied."
advisor_notification_research_complete_custodii_01_variant_06: "Precise knowledge implementation complete."
advisor_notification_research_complete_custodii_01_variant_07: "Technology harmoniously integrated."
advisor_notification_research_complete_custodii_01_variant_08: "Research efficiently concluded."
advisor_notification_research_complete_custodii_01_variant_09: "Knowledge precisely cataloged."
advisor_notification_research_complete_custodii_01_variant_10: "Technological acquisition finalized." 
